latitude,longitude,link_length_km,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles,road_name
51.54237055,-0.00174621,0.5,402.0,279.0,10746.0,731.0,1721.0,416.0,13893.0,A118
51.54363733,0.00306852,0.3,433.0,570.0,17299.0,893.0,2529.0,530.0,21821.0,A118
51.54500783,0.01755107,1.5,204.5,135.0,5581.5,401.0,920.5,218.5,7258.0,A118
51.55034926,0.0466356,1.7,210.0,145.0,9284.0,568.5,1257.0,154.0,11408.5,A118
51.54715033,-0.09279067,0.8,696.5,320.5,6799.5,260.0,1861.0,260.5,9501.0,A1199
51.51487392,-0.07285167,0.2,2084.5,1214.0,6207.5,1272.5,2343.0,621.0,11658.5,A11
51.51755063,-0.06610847,1.1,721.0,529.0,6013.5,782.5,1025.0,668.0,9019.0,A11
51.51989533,-0.05563085,1.6,2021.0,689.5,8005.0,419.0,1854.5,259.5,11227.5,A11
51.52687268,-0.02650055,1.5,1571.5,1030.5,12406.5,737.5,2535.5,633.5,17344.0,A11
51.52806892,-0.08786472,0.3,385.0,1111.0,8326.0,531.0,1551.0,262.0,11781.0,A1200
51.52870736,-0.08841465,0.3,213.0,400.0,2471.0,637.0,708.0,120.0,4335.0,A1200
51.53029202,-0.08632981,0.9,568.5,552.0,4569.5,623.0,1380.0,154.0,7279.0,A1200
51.53940512,-0.09373457,0.7,1161.0,780.5,5390.0,113.0,1306.0,327.0,7916.0,A1200
51.5417219,-0.09796409,0.8,536.0,551.5,5530.0,248.5,1540.5,202.0,8072.5,A1200
51.54631528,-0.10062819999999999,0.3,541.0,406.5,5999.5,539.0,1624.5,277.0,8846.5,A1201
51.54847108,-0.09825954,2.2,474.5,236.0,5748.0,343.5,1383.0,78.5,7789.5,A1201
51.51051785,-0.07044148,0.4,2548.0,39.5,587.5,5.5,183.0,41.0,856.5,A1202
51.51148027,-0.06881553,0.2,633.5,326.5,3764.0,12.5,1185.5,171.0,5459.5,A1202
51.51375767,-0.07059281,0.4,1401.0,1052.0,9545.0,64.0,2153.0,379.0,13194.0,A1202
51.52111707,-0.07518276,0.9,2005.0,1438.0,8185.0,177.0,2523.5,830.0,13153.5,A1202
